Tomas Prikryl;96:12;10592,64;13,35;3621,44;4088,87;1594,88;928,59;345,51;88;32,26;6,61;4025,83;529,84;281,02;56;3806,93;387,6;63,4;46;2760,04;11,13;0,0;2;Jagiellonia Białystok;https://www.transfermarkt.pl/tomas-prikryl/profil/spieler/152693
Błażej Augustyn;96:12;9190,02;10,18;3745,12;3705,25;1305,83;374,94;48,7;29;28,37;5,73;3508,07;139,19;0,0;10;3610,89;217,89;48,7;22;2071,1;17,85;0,0;2;Jagiellonia Białystok;https://www.transfermarkt.pl/blazej-augustyn/profil/spieler/42029
Michał Pazdan;96:12;9820,7;7,11;4017,04;4244,8;1127,06;356,45;68,24;36;29,16;6,13;3426,74;95,94;5,87;11;3724,78;249,23;62,37;28;2669,12;11,29;0,0;2;Jagiellonia Białystok;https://www.transfermarkt.pl/michal-pazdan/profil/spieler/54512
Taras Romanczuk;96:12;11905,15;2,0;3790,96;4537,66;2808,91;696,33;69,29;51;31,61;7,43;4166,79;187,79;21,64;26;4923,32;488,56;47,64;39;2815,08;19,99;0,0;3;Jagiellonia Białystok;https://www.transfermarkt.pl/taras-romanczuk/profil/spieler/280939
Martin Pospisil;96:12;10755,26;11,29;4140,86;4056,53;1759,82;704,44;82,32;55;27,67;6,71;3733,73;272,12;60,26;28;4189,73;433,34;22,06;32;2831,8;0,0;0,0;0;Jagiellonia Białystok;https://www.transfermarkt.pl/martin-pospisil/profil/spieler/180538
Jesus Imaz;96:12;11094,82;2,14;3888,85;4466,4;1745,5;800,38;191,55;64;30,42;6,92;4319,96;534,26;145,58;47;3969,36;258,5;45,95;33;2805,52;6,49;0,0;3;Jagiellonia Białystok;https://www.transfermarkt.pl/jesus-imaz/profil/spieler/176423
Przemysław Mystkowski;56:47;6996,9;1,02;2100,08;3013,09;1160,02;599,75;122,94;46;29,64;7,39;2675,12;328,78;57,78;27;2868,34;269,92;61,76;24;1453,43;0,0;3,4;1;Jagiellonia Białystok;https://www.transfermarkt.pl/przemyslaw-mystkowski/profil/spieler/287319
Fedor Cernych;56:51;6561,39;3,03;2389,46;2087,3;1283,76;660,56;137,28;52;30,9;6,93;2603,75;352,75;95,15;33;2539,97;260,33;42,13;25;1417,64;47,49;0,0;4;Jagiellonia Białystok;https://www.transfermarkt.pl/fedor-%C4%8Cernych/profil/spieler/140540
Bartłomiej Wdowik (M);12:38;1333,29;0,0;421,23;451,18;255,26;129,67;75,95;11;31,49;6,33;442,34;68,33;74,82;7;219,09;18,03;1,12;3;671,88;43,31;0,0;3;Jagiellonia Białystok;https://www.transfermarkt.pl/bartlomiej-wdowik/profil/spieler/589013
Karol Struski (M);39:25;4326,54;3,01;1445,66;1617,08;778,4;345,85;136,54;27;31,4;6,59;1617,06;212,54;102,59;17;1526,35;133,3;33,95;17;1183,07;0,0;0,0;0;Jagiellonia Białystok;https://www.transfermarkt.pl/karol-struski/profil/spieler/553562
Andrzej Trubeha;39:21;4300,09;6,06;1422,3;1662,27;666,83;383,64;158,99;40;28,17;6,56;1697,58;259,1;97,92;26;1414,09;124,53;61,06;19;1188,39;0,0;0,0;0;Jagiellonia Białystok;https://www.transfermarkt.pl/andrzej-trubeha/profil/spieler/385614
Zlatan Alomerović;96:12;4225,25;11,13;3316,81;666,21;204,52;26,58;0,0;3;24,49;2,64;1136,43;5,56;0,0;1;1535,99;5,73;0,0;1;1552,84;15,29;0,0;1;Lechia Gdańsk;https://www.transfermarkt.pl/zlatan-alomerovic/profil/spieler/47594
